Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
62b4725bdec63838046a4ec8,How to use this board,https://example.com/trello/c/iXS2LcLg/4-how-to-use-this-board,"###Suggested use of this template

**Before**

* Both manager and team member put topics down on their lists, ranked by priority and labeled as either Blocker, Discuss, FYI or Paused.

**During**

* Agree on agenda
1\. Can Blocker and Discuss topics can be covered?
2\. Any interest in FYI topics?
* Discuss topics
1\.  Capture notes/actions as you go (or defer to after meeting)
* Review progress on goals (either all or pick one to focus)
* Review actions

**After**

* Capture necessary notes/actions not covered in 1-1 meeting
* Move discussions that have related actions to ""Actions""
* Move topics that are closed to ""Done""

**For more 1-on-1 meeting tips...**
I put my top 7 tips on the Atlassian Blog: https://example.com/atlassian/blog/inside-atlassian/1-on-1-meeting-tips",,,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4ec8/attachments/62b4725cdec63838046a4ff9/download/ScratchPaper.jpg,0,0,0,0,2022-06-23T14:02:04.438Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ec4,Blocker - Timely discussion (#4),https://example.com/trello/c/QINd6NVA/2-blocker-timely-discussion-4,This is blocking me/us.,Blocker (red),,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4ec4/attachments/62b4725cdec63838046a4fea/download/image.png,0,0,0,0,2022-06-23T14:02:43.446Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ec6,Discuss - Suggested topic (#3),https://example.com/trello/c/wpEFQ6Z4/3-discuss-suggested-topic-3,Would like to discuss this.,Discuss (orange),,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4ec6/attachments/62b4725cdec63838046a4fef/download/image.png,0,0,0,0,2022-06-23T14:02:04.406Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4eca,FYI - Discuss if interested (#6),https://example.com/trello/c/ZsKNrfR6/5-fyi-discuss-if-interested-6,,FYI (blue),,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4eca/attachments/62b4725cdec63838046a4ffb/download/DotBlue.png,0,0,0,0,2022-06-23T14:02:04.464Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ecc,Paused - No need to discuss (#0),https://example.com/trello/c/RftsJaii/6-paused-no-need-to-discuss-0,,Paused (black),,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4ecc/attachments/62b4725cdec63838046a5000/download/DotTrelloBlack.png,0,0,0,0,2022-06-23T14:02:04.348Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ec2,Goal (#1),https://example.com/trello/c/mMl9Mcq8/1-goal-1,,Goal (green),,,1,https://example.com/trello/1/cards/62b4725bdec63838046a4ec2/attachments/62b4725cdec63838046a4fe5/download/image.png,0,0,0,0,2022-06-23T14:02:04.409Z,62b4725bdec63838046a4e8d,Info,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ed6,"The team is stuck on X, how can we move forward?",https://example.com/trello/c/eZJpWxJf/11-the-team-is-stuck-on-x-how-can-we-move-forward,,Blocker (red),,,0,,0,0,0,0,2022-06-23T14:02:03.883Z,62b4725bdec63838046a4e8f,Team Member's Topics,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ed8,I've drafted my goals for the next few months. Any feedback?,https://example.com/trello/c/iQe6pQWb/12-ive-drafted-my-goals-for-the-next-few-months-any-feedback,,Discuss (orange),,,0,,0,0,0,0,2022-06-23T14:02:03.865Z,62b4725bdec63838046a4e8f,Team Member's Topics,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4eda,I think we can improve velocity if we make some tooling changes.,https://example.com/trello/c/ENwQETrP/13-i-think-we-can-improve-velocity-if-we-make-some-tooling-changes,,Discuss (orange),,,0,,0,0,0,0,2022-06-23T14:02:03.848Z,62b4725bdec63838046a4e8f,Team Member's Topics,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
62b4725bdec63838046a4ed4,New training program,https://example.com/trello/c/QTCPuLj0/10-new-training-program,,Discuss (orange),,,0,,0,0,0,0,2022-06-23T14:02:03.902Z,62b4725bdec63838046a4e90,Manager's Topics,62b4725bdec63838046a4e8e,1-on-1 Meeting Agenda,false,,false,
